,Group,Maker/Brand,Type,Segment,Model,Month,Sales,Monthly_Segment_Sales,Percentage_Contribution
0,Renault-Nissan Alliance,Datsun,Cars,A,Redi-GO,2021-01-01,757,71736,1.05525816884131
1,Renault-Nissan Alliance,Datsun,Cars,B,Go,2021-01-01,65,49494,0.131329049985857
2,Renault-Nissan Alliance,Datsun,UVs/MPVs,MPV,Go+,2021-01-01,346,26181,1.32156907681143
3,Hyundai Kia Automotive Group,Hyundai,Cars,A,Grand i10,2021-01-01,12387,71736,17.2674807627969
4,Hyundai Kia Automotive Group,Hyundai,Cars,B,Xcent,2021-01-01,289,49494,0.583909160706348
5,Hyundai Kia Automotive Group,Hyundai,Cars,B,i20,2021-01-01,8673,49494,17.523336161959
6,Hyundai Kia Automotive Group,Hyundai,Cars,C,Accent (Verna),2021-01-01,4491,29921,15.0095250827178
7,Hyundai Kia Automotive Group,Hyundai,UVs/MPVs,SUV-C,Creta (ix25),2021-01-01,14200,21816,65.0898423175651
8,Hyundai Kia Automotive Group,Hyundai,UVs/MPVs,SUV-C,Tucson (ix35),2021-01-01,110,21816,0.504217088375504
9,Suzuki,Suzuki,Cars,A,Alto,2021-01-01,18719,71736,26.0942901750864
10,Suzuki,Suzuki,Cars,A,Celerio,2021-01-01,7254,71736,10.1120776179324
11,Suzuki,Suzuki,Cars,A,Wagon R,2021-01-01,17184,71736,23.95449983272
12,Suzuki,Suzuki,Cars,B,Dzire,2021-01-01,16504,49494,33.3454560148705
13,Suzuki,Suzuki,Cars,B,Swift,2021-01-01,19233,49494,38.8592556673536
14,Suzuki,Suzuki,Cars,C,Baleno,2021-01-01,19172,29921,64.0753985495137
15,Suzuki,Suzuki,Cars,C,Ciaz,2021-01-01,1524,29921,5.09341265332041
16,Suzuki,Suzuki,Cars,SUV-B,Ignis,2021-01-01,4302,26203,16.417967408312
17,Suzuki,Suzuki,UVs/MPVs,SUV-B,SX4 S-CROSS,2021-01-01,600,26203,2.28981414341869
18,Suzuki,Suzuki,UVs/MPVs,SUV-B,Vitara Brezza,2021-01-01,12007,26203,45.8229973667137
19,Suzuki,Suzuki,UVs/MPVs,MPV,Eeco,2021-01-01,11769,26181,44.9524464306176
20,Suzuki,Suzuki,UVs/MPVs,MPV,Ertiga,2021-01-01,9850,26181,37.6227034872617
21,VW Group,Skoda,Cars,C,Octavia (Laura),2021-01-01,0,29921,0
22,VW Group,Skoda,Cars,D,Skoda Superb,2021-01-01,258,269,95.910780669145
23,VW Group,Skoda,UVs/MPVs,SUV-C,Kodiaq,2021-01-01,4,21816,0.018335166850018
24,Toyota Group,Toyota,Cars,D,Camry,2021-01-01,11,269,4.08921933085502
25,Toyota Group,Toyota,UVs/MPVs,SUV-D,Fortuner,2021-01-01,1264,8930,14.1545352743561
26,Toyota Group,Toyota,UVs/MPVs,MPV,Innova,2021-01-01,4216,26181,16.1032810053092
27,Honda,Honda,Cars,A,Amaze,2021-01-01,5080,71736,7.08152113304338
28,Honda,Honda,Cars,B,Fit (Jazz),2021-01-01,840,49494,1.69717541520184
29,Honda,Honda,Cars,C,City,2021-01-01,3614,29921,12.0784733130577
30,Honda,Honda,UVs/MPVs,SUV-B,WR-V,2021-01-01,1202,26203,4.58726100064878
31,Mahindra & Mahindra,Mahindra & Mahindra,UVs/MPVs,SUV-A,KUV100,2021-01-01,493,493,100
32,Mahindra & Mahindra,Mahindra & Mahindra,UVs/MPVs,SUV-C,Scorpio,2021-01-01,4135,21816,18.9539787312065
33,Mahindra & Mahindra,Mahindra & Mahindra,UVs/MPVs,SUV-C,Thar,2021-01-01,3367,21816,15.4336266960029
34,Mahindra & Mahindra,Mahindra & Mahindra,UVs/MPVs,SUV-D,Bolero,2021-01-01,7666,8930,85.8454647256439
35,Mahindra & Mahindra,Mahindra & Mahindra,UVs/MPVs,Unclassified,Maxximo,2021-01-01,35,184,19.0217391304348
36,Mahindra & Mahindra,Mahindra & Mahindra,UVs/MPVs,Unclassified,Supro,2021-01-01,149,184,80.9782608695652
37,VW Group,VW,Cars,B,Polo,2021-01-01,1915,49494,3.86915585727563
38,VW Group,VW,Cars,C,Vento,2021-01-01,1120,29921,3.74319040139033
39,Tata Group,Tata,Cars,A,Tiago,2021-01-01,6707,71736,9.34955949592952
40,Tata Group,Tata,Cars,B,Tigor,2021-01-01,1975,49494,3.99038267264719
41,Tata Group,Tata,UVs/MPVs,SUV-B,Nexon,2021-01-01,8092,26203,30.8819600809068
42,Renault-Nissan Alliance,Renault,Cars,A,Kwid,2021-01-01,3648,71736,5.08531281365005
43,Renault-Nissan Alliance,Datsun,Cars,A,Redi-GO,2021-02-01,1037,73704,1.40697926842505
44,Renault-Nissan Alliance,Datsun,Cars,B,Go,2021-02-01,220,49717,0.442504575899592
45,Renault-Nissan Alliance,Datsun,UVs/MPVs,MPV,Go+,2021-02-01,165,28343,0.582154323818932
46,Hyundai Kia Automotive Group,Hyundai,Cars,A,Grand i10,2021-02-01,11970,73704,16.24063822859
47,Hyundai Kia Automotive Group,Hyundai,Cars,B,Xcent,2021-02-01,112,49717,0.22527505682161
48,Hyundai Kia Automotive Group,Hyundai,Cars,B,i20,2021-02-01,8550,49717,17.1973369270069
49,Hyundai Kia Automotive Group,Hyundai,Cars,C,Accent (Verna),2021-02-01,4519,33917,13.3237019783589
50,Hyundai Kia Automotive Group,Hyundai,UVs/MPVs,SUV-C,Creta (ix25),2021-02-01,15602,22217,70.2255029932034
51,Hyundai Kia Automotive Group,Hyundai,UVs/MPVs,SUV-C,Tucson (ix35),2021-02-01,145,22217,0.652653373542783
52,Suzuki,Suzuki,Cars,A,Alto,2021-02-01,18228,73704,24.731357863888
53,Suzuki,Suzuki,Cars,A,Celerio,2021-02-01,7084,73704,9.61141864756323
54,Suzuki,Suzuki,Cars,A,Wagon R,2021-02-01,18745,73704,25.4328123304027
55,Suzuki,Suzuki,Cars,B,Dzire,2021-02-01,13968,49717,28.0950178007523
56,Suzuki,Suzuki,Cars,B,Swift,2021-02-01,21932,49717,44.1136834483175
57,Suzuki,Suzuki,Cars,C,Baleno,2021-02-01,22752,33917,67.0814046053601
58,Suzuki,Suzuki,Cars,C,Ciaz,2021-02-01,1943,33917,5.72869062711914
59,Suzuki,Suzuki,Cars,SUV-B,Ignis,2021-02-01,3819,28464,13.4169477234401
60,Suzuki,Suzuki,UVs/MPVs,SUV-B,SX4 S-CROSS,2021-02-01,2639,28464,9.27136031478359
61,Suzuki,Suzuki,UVs/MPVs,SUV-B,Vitara Brezza,2021-02-01,12719,28464,44.6845137717819
62,Suzuki,Suzuki,UVs/MPVs,MPV,Eeco,2021-02-01,12035,28343,42.4619835585506
63,Suzuki,Suzuki,UVs/MPVs,MPV,Ertiga,2021-02-01,10235,28343,36.1112091168895
64,VW Group,Skoda,Cars,C,Octavia (Laura),2021-02-01,0,33917,0
65,VW Group,Skoda,Cars,D,Skoda Superb,2021-02-01,157,172,91.2790697674419
66,VW Group,Skoda,UVs/MPVs,SUV-C,Kodiaq,2021-02-01,2,22217,0.009002115497142
67,Toyota Group,Toyota,Cars,D,Camry,2021-02-01,15,172,8.72093023255814
68,Toyota Group,Toyota,UVs/MPVs,SUV-D,Fortuner,2021-02-01,2092,8843,23.6571299332806
69,Toyota Group,Toyota,UVs/MPVs,MPV,Innova,2021-02-01,5908,28343,20.8446530007409
70,Honda,Honda,Cars,A,Amaze,2021-02-01,5043,73704,6.84223380006513
71,Honda,Honda,Cars,B,Fit (Jazz),2021-02-01,840,49717,1.68956292616208
72,Honda,Honda,Cars,C,City,2021-02-01,3452,33917,10.1777869504968
73,Honda,Honda,UVs/MPVs,SUV-B,WR-V,2021-02-01,1054,28464,3.70292299044407
74,Mahindra & Mahindra,Mahindra & Mahindra,UVs/MPVs,SUV-A,KUV100,2021-02-01,505,505,100
75,Mahindra & Mahindra,Mahindra & Mahindra,UVs/MPVs,SUV-C,Scorpio,2021-02-01,3779,22217,17.0094972318495
76,Mahindra & Mahindra,Mahindra & Mahindra,UVs/MPVs,SUV-C,Thar,2021-02-01,2689,22217,12.1033442859072
77,Mahindra & Mahindra,Mahindra & Mahindra,UVs/MPVs,SUV-D,Bolero,2021-02-01,6751,8843,76.3428700667194
78,Mahindra & Mahindra,Mahindra & Mahindra,UVs/MPVs,Unclassified,Maxximo,2021-02-01,100,100,100
79,Mahindra & Mahindra,Mahindra & Mahindra,UVs/MPVs,Unclassified,Supro,2021-02-01,0,100,0
80,VW Group,VW,Cars,B,Polo,2021-02-01,2086,49717,4.19574793330249
81,VW Group,VW,Cars,C,Vento,2021-02-01,1251,33917,3.68841583866498
82,Tata Group,Tata,Cars,A,Tiago,2021-02-01,6824,73704,9.25865624660805
83,Tata Group,Tata,Cars,B,Tigor,2021-02-01,2009,49717,4.04087133173764
84,Tata Group,Tata,UVs/MPVs,SUV-B,Nexon,2021-02-01,8233,28464,28.9242551995503
85,Renault-Nissan Alliance,Renault,Cars,A,Kwid,2021-02-01,4773,73704,6.47590361445783
86,Renault-Nissan Alliance,Datsun,Cars,A,Redi-GO,2021-03-01,975,76563,1.27346107127464
87,Renault-Nissan Alliance,Datsun,Cars,B,Go,2021-03-01,129,54372,0.237254469212094
88,Renault-Nissan Alliance,Datsun,UVs/MPVs,MPV,Go+,2021-03-01,11,27303,0.040288612972933
89,Hyundai Kia Automotive Group,Hyundai,Cars,A,Grand i10,2021-03-01,14120,76563,18.4423285398952
90,Hyundai Kia Automotive Group,Hyundai,Cars,B,Xcent,2021-03-01,100,54372,0.18391819318767
91,Hyundai Kia Automotive Group,Hyundai,Cars,B,i20,2021-03-01,10653,54372,19.5928051202825
92,Hyundai Kia Automotive Group,Hyundai,Cars,C,Accent (Verna),2021-03-01,4293,34491,12.4467252326694
93,Hyundai Kia Automotive Group,Hyundai,UVs/MPVs,SUV-C,Creta (ix25),2021-03-01,16655,24034,69.2976616460015
94,Hyundai Kia Automotive Group,Hyundai,UVs/MPVs,SUV-C,Tucson (ix35),2021-03-01,140,24034,0.582508113505867
95,Suzuki,Suzuki,Cars,A,Alto,2021-03-01,18390,76563,24.0194349751185
96,Suzuki,Suzuki,Cars,A,Celerio,2021-03-01,5678,76563,7.41611483353578
97,Suzuki,Suzuki,Cars,A,Wagon R,2021-03-01,18980,76563,24.7900421874796
98,Suzuki,Suzuki,Cars,B,Dzire,2021-03-01,14432,54372,26.5430736408446
99,Suzuki,Suzuki,Cars,B,Swift,2021-03-01,23657,54372,43.5095269624071
100,Suzuki,Suzuki,Cars,C,Baleno,2021-03-01,24760,34491,71.7868429445363
101,Suzuki,Suzuki,Cars,C,Ciaz,2021-03-01,2019,34491,5.85370096546925
102,Suzuki,Suzuki,Cars,SUV-B,Ignis,2021-03-01,4721,29640,15.9278002699055
103,Suzuki,Suzuki,UVs/MPVs,SUV-B,SX4 S-CROSS,2021-03-01,2602,29640,8.77867746288799
104,Suzuki,Suzuki,UVs/MPVs,SUV-B,Vitara Brezza,2021-03-01,12485,29640,42.1221322537112
105,Suzuki,Suzuki,UVs/MPVs,MPV,Eeco,2021-03-01,11891,27303,43.551990623741
106,Suzuki,Suzuki,UVs/MPVs,MPV,Ertiga,2021-03-01,9817,27303,35.9557557777534
107,VW Group,Skoda,Cars,C,Octavia (Laura),2021-03-01,21,34491,0.060885448377838
108,VW Group,Skoda,Cars,D,Skoda Superb,2021-03-01,174,200,87
109,VW Group,Skoda,UVs/MPVs,SUV-C,Kodiaq,2021-03-01,0,24034,0
110,Toyota Group,Toyota,Cars,D,Camry,2021-03-01,26,200,13
111,Toyota Group,Toyota,UVs/MPVs,SUV-D,Fortuner,2021-03-01,2137,9357,22.8385166185743
112,Toyota Group,Toyota,UVs/MPVs,MPV,Innova,2021-03-01,5584,27303,20.4519649855327
113,Honda,Honda,Cars,A,Amaze,2021-03-01,5071,76563,6.62330368454737
114,Honda,Honda,Cars,B,Fit (Jazz),2021-03-01,840,54372,1.54491282277643
115,Honda,Honda,Cars,C,City,2021-03-01,1777,34491,5.15206865559131
116,Honda,Honda,UVs/MPVs,SUV-B,WR-V,2021-03-01,1320,29640,4.45344129554656
117,Mahindra & Mahindra,Mahindra & Mahindra,UVs/MPVs,SUV-A,KUV100,2021-03-01,10,10,100
118,Mahindra & Mahindra,Mahindra & Mahindra,UVs/MPVs,SUV-C,Scorpio,2021-03-01,3880,24034,16.1437962885912
119,Mahindra & Mahindra,Mahindra & Mahindra,UVs/MPVs,SUV-C,Thar,2021-03-01,3359,24034,13.9760339519015
120,Mahindra & Mahindra,Mahindra & Mahindra,UVs/MPVs,SUV-D,Bolero,2021-03-01,7220,9357,77.1614833814257
121,Mahindra & Mahindra,Mahindra & Mahindra,UVs/MPVs,Unclassified,Maxximo,2021-03-01,110,166,66.2650602409639
122,Mahindra & Mahindra,Mahindra & Mahindra,UVs/MPVs,Unclassified,Supro,2021-03-01,56,166,33.7349397590361
123,VW Group,VW,Cars,B,Polo,2021-03-01,2484,54372,4.56852791878173
124,VW Group,VW,Cars,C,Vento,2021-03-01,1621,34491,4.69977675335595
125,Tata Group,Tata,Cars,A,Tiago,2021-03-01,7056,76563,9.2159398142706
126,Tata Group,Tata,Cars,B,Tigor,2021-03-01,2077,54372,3.81998087250791
